from,to,weight
Men,Ara,1
Men,Nar,3
Men,Col,1
Men,Dom,1
Men,Nor,3
Men,Bor,1
Men,Pum,1
Men,Gab,1
Men,Mad,1
Men,Riz,1
Men,Afr,1
Men,Ab,1
Men,Sap,2
