ID,Generoa,Adina,Aurpegiak
1,F,22,5952
2,F,61,4864
3,F,27,2631
4,M,20,1792
5,F,19,2490
6,M,22,6468
7,F,19,3534
8,M,18,7597
9,F,20,2950
10,M,22,1577
11,F,22,2501
12,M,21,6416
13,F,21,2428
14,F,47,1671
15,F,20,3600
16,M,21,6683
17,M,22,1031
18,F,22,4685
19,F,23,4819
20,F,22,3423
21,F,21,5972
22,F,23,2159
23,M,22,8579
24,M,27,6622
25,M,22,5547
