"","region","name","FID"
"274","America-Australia","Symposiarchus trivirgatus",5.7
"275","America-Australia","Tachybaptus novaehollandiae",37.6
"276","America-Australia","Tadorna tadornoides",122.3
"277","America-Australia","Taeniopygia bichenovii",6.2
"278","America-Australia","Taeniopygia guttata",14.7
"279","America-Australia","Thinornis rubricollis",26.3
"280","America-Australia","Threskiornis molucca",50.4
"281","America-Australia","Threskiornis spinicollis",84.9
"282","America-Australia","Threskornis molucca",35.03
"283","America-Australia","Todiramphus macleayii",11
"284","America-Australia","Todiramphus sanctus ",20.9
"285","America-Australia","Tregellasia capito",8.5
"286","America-Australia","Trichoglossus chlorolepidotus",1
"287","America-Australia","Trichoglossus haematodus ",10
"288","America-Australia","Tringa brevipes",23
"289","America-Australia","Tringa hypoleucos",43
"290","America-Australia","Tringa melanoleuca",23
"291","America-Australia","Tringa nebularia",70
"292","America-Australia","Tringa stagnatilis",44.1
"293","America-Australia","Turdus merula",35.5
"294","America-Australia","Turdus migratorius",11.7
"295","America-Australia","Turnix pyrrhothorax",3.6
"296","America-Australia","Vanellus miles",79.7
"297","America-Australia","Vanellus tricolor",74
"298","America-Australia","Zenaida macroura ",15.8
"299","America-Australia","Zonotrichia leucophrys ",8.6
"300","America-Australia","Zoothera heinei",11
"301","America-Australia","Zoothera lunulata ",8.9
"302","America-Australia","Zosterops lateralis ",5.5
"303","Europe","Accipiter nisus",10
"304","Europe","Acrocephalus palustris",8.84
"305","Europe","Acrocephalus schoenobaenus ",7.56
"306","Europe","Aegithalos caudatus",4.64
"307","Europe","Alauda arvensis",14.9
"308","Europe","Alcedo atthis",16.27
"309","Europe","Alectoris rufa",30
"310","Europe","Amandava amandava",6.55
"311","Europe","Anas crecca",39.23
"312","Europe","Anthus campestris ",18.22
"313","Europe","Anthus pratensis",16.98
"314","Europe","Anthus spinoletta",3.28
"315","Europe","Anthus trivialis",13.37
"316","Europe","Apus apus",38.1
"317","Europe","Ardea cinerea",47.36
"318","Europe","Aythya fuligula",10.68
"319","Europe","Branta bernicla",23.5
"320","Europe","Buteo buteo",54.06
"321","Europe","Buteo lagopus",20.1
"322","Europe","Calidris alpina",71
"323","Europe","Carduelis cannabina",9.25
"324","Europe","Carduelis carduelis",11.5
"325","Europe","Carduelis chloris",6.9
"326","Europe","Carduelis flammea",4.5
"327","Europe","Carduelis spinus",4.83
"328","Europe","Certhia familiaris",4.55
"329","Europe","Cettia cetti",5.55
"330","Europe","Charadrius dubius",9
"331","Europe","Charadrius hiaticula",22.5
"332","Europe","Ciconia ciconia",35
"333","Europe","Cisticola juncidis",5.32
"334","Europe","Coccothraustes coccothraustes ",8.6
"335","Europe","Columba livia ",3.5
"336","Europe","Columba palumbus",11.5
"337","Europe","Corvus corax",79.63
"338","Europe","Corvus corone",27.48
"339","Europe","Corvus frugilegus",59.9
"340","Europe","Corvus monedula",24.6
"341","Europe","Cuculus canorus",25.89
"342","Europe","Cygnus columbianus",200
"343","Europe","Cygnus cygnus",155
"344","Europe","Delichon urbica",6.34
"345","Europe","Dendrocopos major",13.44
"346","Europe","Dryocopus martius",38.71
"347","Europe","Emberiza cia",9.43
"348","Europe","Emberiza cirlus",7
"349","Europe","Emberiza citrinella",12.4
"350","Europe","Emberiza schoeniclus",9.81
"351","Europe","Erithacus rubecula",11.1
"352","Europe","Falco tinnunculus",30.94
"353","Europe","Ficedula hypoleuca ",5.39
"354","Europe","Fringilla coelebs",8.7
"355","Europe","Galerida cristata",14.33
"356","Europe","Galerida theklae",7.65
"357","Europe","Gallinago gallinago",72
"358","Europe","Gallinula chloropus",10.03
"359","Europe","Garrulus glandarius",11.76
"360","Europe","Haematopus ostralegus",82
"361","Europe","Hippolais icterina",7.52
"362","Europe","Hirundo daurica",8.06
"363","Europe","Hirundo rustica",10.16
"364","Europe","Ixobrychus minutus",35
"365","Europe","Lanius collurio",7.27
"366","Europe","Lanius excubitor",21.16
"367","Europe","Lanius senator",10.99
"368","Europe","Larus canus",59.94
"369","Europe","Larus fuscus",25
"370","Europe","Larus marinus",68
"371","Europe","Larus ridibundus",41.2
"372","Europe","Locustella naevia",15.03
"373","Europe","Loxia curvirostra",4.74
"374","Europe","Lullula arborea ",12.14
"375","Europe","Luscinia luscinia ",15.89
"376","Europe","Luscinia megarhynchos",8.16
"377","Europe","Merops apiaster",37.02
"378","Europe","Miliaria calandra",9.13
"379","Europe","Monticola saxatilis",16.67
"380","Europe","Motacilla alba",8.6
"381","Europe","Motacilla cinerea",6.3
"382","Europe","Motacilla flava ",9.7
"383","Europe","Muscicapa striata",8.5
"384","Europe","Numenius americanus ",25.7
"385","Europe","Numenius arquata",62.75
"386","Europe","Oenanthe oenanthe",16.25
"387","Europe","Oriolus oriolus",39.67
"388","Europe","Parus ater",5.09
"389","Europe","Parus caeruleus",4.8
"390","Europe","Parus cristatus",6.08
"391","Europe","Parus major",5.9
"392","Europe","Parus palustris",6.88
"393","Europe","Passer domesticua",12.4
"394","Europe","Passer hispaniolensis",11.94
"395","Europe","Passer montanus",5.11
"396","Europe","Perdix perdix",32.71
"397","Europe","Phasianus colchicus",62.2
"398","Europe","Phoenicurus ochruros",6.95
"399","Europe","Phoenicurus phoenicurus",9.1
"400","Europe","Phylloscopus bonelli",4.95
"401","Europe","Phylloscopus trochilus",6.28
"402","Europe","Pica pica",13
"403","Europe","Picus viridis",17
"404","Europe","Picus viridis ",16.5
"405","Europe","Prunella modularis",9.2
"406","Europe","Pyrrhula pyrrhula",5.9
"407","Europe","Regulus ignicapillus",5.25
"408","Europe","Regulus regulus",4.07
"409","Europe","Remiz pendulinus",6.17
"410","Europe","Riparia riparia",23.1
"411","Europe","Saxicola rubetra",16.65
"412","Europe","Saxicola torquata",9.14
"413","Europe","Serinus serinus",5.07
"414","Europe","Sitta europaea",6.59
"415","Europe","Streptopelia decaocto",5.38
"416","Europe","Sylvia atricapilla",5.73
"417","Europe","Sylvia borin",6.44
"418","Europe","Sylvia cantillans",5.69
"419","Europe","Sylvia communis",11.7
"420","Europe","Sylvia conspicillata",7.27
"421","Europe","Sylvia curruca",4.7
"422","Europe","Sylvia melanocephala",5.9
"423","Europe","Sylvia undata",10.86
"424","Europe","Tadorna tadorna",48.57
"425","Europe","Tetrao tetrix",17
"426","Europe","Tetrao urogallus",27
"427","Europe","Tringa totanus",29.71
"428","Europe","Troglodytes troglodytes",5.64
"429","Europe","Turdus iliacus",12.75
"430","Europe","Turdus philomelos",15.8
"431","Europe","Turdus pilaris",14.21
"432","Europe","Turdus viscivorus",19.33
"433","Europe","Upupa epops",19.96
"434","Europe","Vanellus vanellus",41.32
