species,Endocranial volume,Endocranial volume mm3,Log ECV,Mass_g,Log mass,Relative brain size,Encephalization quotient,Log neocortex,Neocortex volume,Neocortex rest of brain,Log neocortex ROB,Relative neocortex size,Log cerebellum,Cerebellum volume,Cerebellum rest of brain,Log cerebellum ROB,Relative cerebellum size,Group size,Log group size,Social cohesion,Diet,Dietary breadth,Habitat variability,Home range,Log home range,Gestation length,Log gestation length ,Maximum longevity,Log maximum longevity,Fertility,Log fertility,Age at first reproduction,Log age at first reproduction,Weaning age,Log weaning age,taxa
Mustela_frenata_MUSTELIDAE_CARNIVORA,3.88,3880,0.59,165,2.22,-0.024762865,0.97,,,,,,,,,,,1,0,1,Carn,1,3,2,0.3,38.5,1.58546073,8.8,0.944482672,4.5,0.653212514,0.44,-0.356547324,37,1.568201724,felid
Mustela_nigripes_MUSTELIDAE_CARNIVORA,7.7,7700,0.89,809,2.91,-0.144324758,0.68,3.555578073,3594,4106,3.613418945,-0.193275989,,,,,,1,0,1,Carn,1,2,83,1.92,36,1.556302501,9.4,0.973127854,8.97,0.952792443,0.88,-0.055517328,59.66,1.775683249,felid
Mustela_nivalis_MUSTELIDAE_CARNIVORA,2.23,2230,0.35,60,1.78,0.002783849,1.07,2.997421336,994.08,1235.92,3.09199036,0.034080451,2.475031622,298.56,1931.44,3.285881221,0.003570309,1,0,1,Carn,1,7,7,0.85,40.8,1.610660163,9.1,0.959041392,9.68,0.985875357,0.33,-0.48148606,49,1.69019608,felid
Mustela_putorius_MUSTELIDAE_CARNIVORA,5.79,5790,0.76,689,2.84,-0.231760508,0.57,3.617734035,4147,1643,3.215637563,-0.082459919,3.049218023,1120,4670,3.669316881,-0.131702551,1,0,1,Carn,4,6,53,1.72,35,1.544068044,11.1,1.045322979,5.5,0.740362689,0.85,-0.070581074,50,1.698970004,felid
Mustela_sibirica_MUSTELIDAE_CARNIVORA,5.46,5460,0.74,395,2.6,-0.105825936,0.77,,,,,,,,,,,1,0,1,Carn,4,5,341,2.53,40,1.602059991,8.8,0.944482672,5,0.698970004,0.9,-0.045757491,61,1.785329835,felid
Nandinia_binotata_NANDINIIDAE_CARNIVORA,14.81,14810,1.17,3190,3.5,-0.223080579,0.54,,,,,,,,,,,1,0,1,Omni,3,4,73,1.86,64.1,1.80685803,21,1.322219295,4,0.602059991,1.97,0.294466226,70,1.84509804,felid
Nasua_narica_PROCYONIDAE_CARNIVORA,38,38000,1.58,3700,3.57,0.144355171,1.26,,,,,,,,,,,8,0.903089987,3,Omni,3,2,78,1.89,78,1.892094603,26.4,1.421603927,4.17,0.620136055,1.95,0.290034611,120,2.079181246,felid
Nasua_nasua_PROCYONIDAE_CARNIVORA,34.18,34180,1.53,3000,3.48,0.149080635,1.3,4.163285441,14564.16,19615.84,4.29260691,0.018199069,3.523101047,3335.04,30844.96,4.489184211,-0.086172288,8,0.903089987,3,Omni,3,2,79,1.9,75.5,1.877946952,23.7,1.374748346,3.5,0.544068044,2,0.301029996,120,2.079181246,felid
Neofelis_nebulosa_FELIDAE_CARNIVORA,69.5,69500,1.84,19490,4.29,-0.033448543,0.78,,,,,,,,,,,1,0,2,Carn,1,2,35,1.54,93,1.968482949,19.8,1.29666519,2.25,0.352182518,2.16,0.334453751,87.5,1.942008053,felid
Neovison_vison_MUSTELIDAE_CARNIVORA,7,7000,0.85,645,2.81,-0.123518686,0.72,,,,,,3.068185862,1170,5830,3.765668555,-0.092655676,1,0,1,Carn,4,3,308,2.49,31,1.491361694,11.4,1.056904851,4.76,0.677606953,0.92,-0.036212173,42,1.62324929,felid
Nyctereutes_procyonoides_CANIDAE_CARNIVORA,28.5,28500,1.45,4020,3.6,-0.00388665,0.89,4.204228543,16004,12496,4.096771017,-0.024275158,,,,,,2,0.301029996,2,Omni,5,4,115,2.06,61.5,1.788875116,16.6,1.220108088,9.46,0.975891136,0.83,-0.080921908,35,1.544068044,felid
Otocyon_megalotis_CANIDAE_CARNIVORA,29.29,29290,1.47,4075,3.61,0.010032742,0.91,4.170701656,14815,14475,4.160618572,-0.064753489,,,,,,2,0.301029996,2,Carn,4,3,113,2.05,62.8,1.797959644,17,1.230448921,3.74,0.572871602,0.83,-0.080921908,87.5,1.942008053,felid
Paguma_larvata_VIVERRIDAE_CARNIVORA,28.56,28560,1.46,4800,3.68,-0.042531508,0.8,,,,,,,,,,,1,0,1,Omni,3,3,288,2.46,53.5,1.728353782,27.4,1.437750563,4.6,0.662757832,1.33,0.123851641,109.1,2.037824751,felid
Panthera_leo_FELIDAE_CARNIVORA,219,219000,2.34,124000,5.09,-0.019897114,0.74,5.19609435,157070.4,61929.6,4.791898275,-0.068174513,4.511714421,32487.36,186512.64,5.270708269,-0.175133829,9,0.954242509,4,Carn,2,5,5519,3.74,109.9,2.040997692,27,1.431363764,1.65,0.217483944,3.58,0.553883027,258.4,2.412292509,felid
Panthera_onca_FELIDAE_CARNIVORA,149,149000,2.17,77700,4.89,-0.068284971,0.68,,,,,,4.510540855,32399.69,116600.31,5.066699705,-0.042447157,1,0,1,Carn,3,6,5255,3.72,99,1.995635195,28,1.447158031,1.23,0.089905111,2.5,0.397940009,167.8,2.224791956,felid
