codigo,tipo,categoria,dia,finde,ano,hora,momento,distrito,X,Y
110238387,intento,intento,3.MIERCOLES,NO,2011,9,1.MANANA,PARK,-122.4454355,37.75725941
40573744,intento,intento,3.MIERCOLES,NO,2004,13,2.TARDE,PARK,-122.4350438,37.76951102
61007560,laceracion,cometido,3.MIERCOLES,NO,2006,19,2.TARDE,PARK,-122.4493286,37.76777389
90770326,estrangulamiento,cometido,3.MIERCOLES,NO,2009,15,2.TARDE,PARK,-122.4402931,37.77461662
91086891,intento,intento,3.MIERCOLES,NO,2009,19,2.TARDE,PARK,-122.4513213,37.7670547
150530018,intento,intento,3.MIERCOLES,NO,2015,18,2.TARDE,PARK,-122.4543301,37.76815301
170728958,laceracion,cometido,3.MIERCOLES,NO,2017,19,2.TARDE,PARK,-122.4461437,37.77005272
170729069,estrangulamiento,cometido,3.MIERCOLES,NO,2017,19,2.TARDE,PARK,-122.4390157,37.77669368
130674664,intento,intento,3.MIERCOLES,NO,2013,20,4.NOCHE,PARK,-122.4388282,37.77576323
170749653,intento,intento,3.MIERCOLES,NO,2017,21,4.NOCHE,PARK,-122.4376101,37.78219536
140176462,salto,cometido,6.SABADO,SI,2014,2,0.MADRUGADA,PARK,-122.4415433,37.7621598
30573061,intento,intento,6.SABADO,SI,2003,7,1.MANANA,PARK,-122.4573375,37.77448614
61190507,arma,cometido,6.SABADO,SI,2006,12,1.MANANA,PARK,-122.439064,37.77245638
90562515,asfixia,cometido,6.SABADO,SI,2009,11,1.MANANA,PARK,-122.4399758,37.78146744
100474369,intento,intento,6.SABADO,SI,2010,6,1.MANANA,PARK,-122.4382459,37.76691459
111044272,intento,intento,6.SABADO,SI,2011,11,1.MANANA,PARK,-122.4541159,37.77242179
160961801,intento,intento,6.SABADO,SI,2016,12,1.MANANA,PARK,-122.4440118,37.75479255
170473852,intento,intento,6.SABADO,SI,2017,11,1.MANANA,PARK,-122.4455066,37.77065833
170957301,intento,intento,6.SABADO,SI,2017,12,1.MANANA,PARK,-122.4552904,37.77092819
70895091,estrangulamiento,cometido,6.SABADO,SI,2007,15,2.TARDE,PARK,-122.4546368,37.77476002
110894638,estrangulamiento,cometido,6.SABADO,SI,2011,15,2.TARDE,PARK,-122.4477831,37.76995495
150229095,intento,intento,6.SABADO,SI,2015,19,2.TARDE,PARK,-122.4365747,37.77000533
150560435,intento,intento,6.SABADO,SI,2015,16,2.TARDE,PARK,-122.4425975,37.76931164
60129684,estrangulamiento,cometido,5.VIERNES,NO,2006,0,0.MADRUGADA,PARK,-122.4399167,37.77276119
81324366,intento,intento,5.VIERNES,NO,2008,4,0.MADRUGADA,PARK,-122.4633116,37.7592203
100959236,intento,intento,5.VIERNES,NO,2010,0,0.MADRUGADA,PARK,-122.4524606,37.77264761
141024539,intento,intento,5.VIERNES,NO,2014,4,0.MADRUGADA,PARK,-122.4456306,37.7758528
120414000,arma,cometido,5.VIERNES,NO,2012,9,1.MANANA,PARK,-122.4559473,37.76408008
150819107,intento,intento,5.VIERNES,NO,2015,8,1.MANANA,PARK,-122.4467803,37.76540211
81254553,intento,intento,5.VIERNES,NO,2008,15,2.TARDE,PARK,-122.4586802,37.74815547
100072173,asfixia,cometido,5.VIERNES,NO,2010,17,2.TARDE,PARK,-122.4373373,37.77033247
80089557,intento,intento,5.VIERNES,NO,2008,23,4.NOCHE,PARK,-122.4464321,37.75024106
170655339,intento,intento,5.VIERNES,NO,2017,22,4.NOCHE,PARK,-122.4353576,37.77938147
160947099,intento,intento,7.DOMINGO,SI,2016,1,0.MADRUGADA,RICHMOND,-122.4410878,37.78695013
71310626,otros,cometido,7.DOMINGO,SI,2007,10,1.MANANA,RICHMOND,-122.4749497,37.78615438
80118338,intento,intento,7.DOMINGO,SI,2008,13,2.TARDE,RICHMOND,-122.4856922,37.78566626
160295525,arma,cometido,7.DOMINGO,SI,2016,14,2.TARDE,RICHMOND,-122.4500206,37.78141254
81258436,laceracion,cometido,7.DOMINGO,SI,2008,22,4.NOCHE,RICHMOND,-122.4637421,37.77448293
110373814,intento,intento,7.DOMINGO,SI,2011,21,4.NOCHE,RICHMOND,-122.4705717,37.77974691
41002609,laceracion,cometido,4.JUEVES,NO,2004,0,0.MADRUGADA,RICHMOND,-122.4712672,37.78082724
110483140,intento,intento,4.JUEVES,NO,2011,1,0.MADRUGADA,RICHMOND,-122.4874293,37.78008941
40692708,arma,cometido,4.JUEVES,NO,2004,10,1.MANANA,RICHMOND,-122.4907521,37.77318862
71096161,arma,cometido,4.JUEVES,NO,2007,6,1.MANANA,RICHMOND,-122.4624249,37.78602013
81321522,estrangulamiento,cometido,4.JUEVES,NO,2008,11,1.MANANA,RICHMOND,-122.4913008,37.78073923
90130015,intento,intento,4.JUEVES,NO,2009,7,1.MANANA,RICHMOND,-122.468975,37.78553073
90851603,arma,cometido,4.JUEVES,NO,2009,6,1.MANANA,RICHMOND,-122.4783033,37.77939749
140786196,arma,cometido,4.JUEVES,NO,2014,8,1.MANANA,RICHMOND,-122.5089058,37.77994166
41474741,intento,intento,4.JUEVES,NO,2004,15,2.TARDE,RICHMOND,-122.4839378,37.78298286
51346760,intento,intento,4.JUEVES,NO,2005,15,2.TARDE,RICHMOND,-122.4808605,37.78498431
80667404,intento,intento,4.JUEVES,NO,2008,13,2.TARDE,RICHMOND,-122.4843279,37.77348188
110085075,arma,cometido,4.JUEVES,NO,2011,18,2.TARDE,RICHMOND,-122.4692275,37.77416998
