"seat_section","survival_status"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
"front","non_survived"
