"","Continent","Disturbance","Order","Family","Scientific.name","Common.name","FID","log.fid"
"55","America-Australia","Pedestrian","Anseriformes","Anatidae","Malacorhynchus membranaceus","pink-eared duck",98,1.99122607569249
"56","America-Australia","Pedestrian","Anseriformes","Anatidae","Oxyura australis","blue-billed duck",68.3,1.83442070368153
"57","America-Australia","Pedestrian","Anseriformes","Anatidae","Oxyura australis ","blue-billed duck ",40,1.60205999132796
"58","America-Australia","Motorized vehicle","Anseriformes","Anatidae","Tadorna tadornoides","Australian shelduck",106.9,2.02897770520878
"59","America-Australia","Pedestrian","Anseriformes","Anatidae","Tadorna tadornoides","Australian shelduck",122.3,2.08742645703629
"60","America-Australia","Bicycle","Anseriformes","Anatidae","Tadorna tadornoides ","Australian shelduck",106.1,2.02571538390134
"61","America-Australia","Motorized vehicle","Anseriformes","Anatidae","Tadorna tadornoides ","Australian shelduck",219.7,2.34183005692051
"62","America-Australia","Motorized vehicle","Anseriformes","Anatidae","Tadorna tadornoides ","Australian shelduck",93.3,1.9698816437465
"63","America-Australia","Pedestrian","Anseriformes","Anatidae","Tadorna tadornoides ","Australian shelduck",111.5,2.04727486738418
"64","America-Australia","Pedestrian","Anseriformes","Anatidae","Tadorna tadornoides ","Australian shelduck",138.9,2.14270224573762
"65","America-Australia","Motorized watercraft","Anseriformes","Anatidae ","Anas gracilis","grey teal ",59,1.77085201164214
"66","America-Australia","Non-motorized watercraft","Anseriformes","Anatidae ","Anas gracilis","grey teal ",49.5,1.69460519893357
"67","America-Australia","Pedestrian","Anseriformes","Anatidae ","Anas gracilis","grey teal ",106.9,2.02897770520878
"68","America-Australia","Pedestrian","Anseriformes","Anatidae ","Cygnus atratus","black swan ",3.6,0.556302500767287
"69","America-Australia","Motorized watercraft","Anseriformes","Anatidae ","Cygnus atratus","black swan ",113,2.05307844348342
"70","America-Australia","Pedestrian","Anseriformes","Anatidae ","Cygnus atratus","black swan ",149,2.17318626841227
"71","America-Australia","Pedestrian","Anseriformes","Anatidae ","Cygnus atratus ","black swan",50.4,1.70243053644553
"72","America-Australia","Pedestrian","Anseriformes","Anatidae ","Tadorna tadornoides","Australian shelduck",145,2.16136800223497
"73","America-Australia","Pedestrian","Charadriiformes","Burhinidae","Burhinus grallarius ","bush stone-curlew",25.9,1.41329976408125
"74","America-Australia","Non-motorized watercraft","Charadriiformes","Charadriidae","Elseyornis melanops","black-fronted dotterel ",9,0.954242509439325
