Continent,Disturbance,Order,Family,Scientific.name,Common.name,FID,log.fid
America-Australia,Pedestrian,Passeriformes,Aegithalidae ,Psaltriparus minimus ,bushtit ,7.4,0.86923172
America-Australia,Pedestrian,Psittaciformes,Psittacidae,Psephotus haematonotus,red-rumped parrot,11.2,1.049218023
America-Australia,Pedestrian,Passeriformes,Cinclosomatidae,Psophodes olivaceus,eastern whipbird,5.8,0.763427994
America-Australia,Pedestrian,Passeriformes,Ptilonorhynchidae,Ptilonorhynchus violaceus,satin bowerbird ,8.4,0.924279286
America-Australia,Pedestrian,Passeriformes,Paradisaeidae,Ptiloris victoriae,Victoria's riflebird,6.5,0.812913357
America-Australia,Pedestrian,Passeriformes,Pycnonotidae ,Pycnonotus jocosus ,red-whiskered bulbul ,17.3,1.238046103
America-Australia,Pedestrian,Passeriformes,Acanthizidae,Pycnoptilus floccosus,pilotbird,16.9,1.227886705
America-Australia,Pedestrian,Charadriiformes,Recurvirostridae,Recurvirostra novaehollandiae,red-necked avocet,32.5,1.511883361
America-Australia,Pedestrian,Passeriformes,Regulidae ,Regulus calendula ,ruby-crowned kinglet ,4.7,0.672097858
America-Australia,Pedestrian,Passeriformes,Dicruridae ,Rhipidura fuliginosa,grey fantail ,5.6,0.748188027
America-Australia,Pedestrian,Passeriformes,Rhipiduridae ,Rhipidura leucophrys,Willie wagtail,23.5,1.371067862
America-Australia,Pedestrian,Passeriformes,Dicruridae ,Rhipidura rufifrons ,rufous fantail ,6.4,0.806179974
America-Australia,Pedestrian,Charadriiformes,Rynchopidae,Rynchops niger,black skimmer,26.63,1.425371166
America-Australia,Pedestrian,Passeriformes,Ptilonorhynchidae,Scenopoeetes dentirostris,tooth-billed bowerbird,5.2,0.716003344
America-Australia,Pedestrian,Passeriformes,Pardalotidae,Sericornis citreogularis,yellow-throated scrubwren,5.6,0.748188027
America-Australia,Pedestrian,Passeriformes,Pardalotidae ,Sericornis frontalis,white-browed scrubwren,4.2,0.62324929
America-Australia,Pedestrian,Passeriformes,Pardalotidae ,Sericornis keri,Atherton scrubwren,4.9,0.69019608
America-Australia,Pedestrian,Passeriformes,Pardalotidae ,Sericornis magnirostris ,large-billed scrubwren,4.4,0.643452676
America-Australia,Pedestrian,Passeriformes,Oriolidae,Sphecotheres vieilloti,Australasian figbird,7.8,0.892094603
America-Australia,Pedestrian,Charadriiformes,Laridae ,Sterna albifrons ,little tern ,21.5,1.33243846
America-Australia,Pedestrian,Charadriiformes,Laridae,Sterna bergii,greater crested tern ,17.71,1.248218561
America-Australia,Pedestrian,Charadriiformes,Laridae ,Sterna caspia ,caspian tern ,35,1.544068044
America-Australia,Pedestrian,Charadriiformes,Laridae ,Sterna hirundo,common tern,20.5,1.311753861
America-Australia,Pedestrian,Passeriformes,Maluridae ,Stipiturus malachurus ,southern emu-wren,7,0.84509804
America-Australia,Pedestrian,Passeriformes,Artamidae ,Strepera graculina,pied currawong,14.8,1.170261715
America-Australia,Pedestrian,Columbiformes,Columbidae ,Streptopelia chinensis ,spotted dove ,12.7,1.103803721
America-Australia,Pedestrian,Strigiformes,Strigidae,Strix occidentalis occidentalis,Mexican spotted owl,7.8,0.892094603
America-Australia,Pedestrian,Passeriformes,Corcoracidae,Struthidea cinerea,grey jumper,20.7,1.315970345
America-Australia,Pedestrian,Passeriformes,Icteridae,Sturnella neglecta,western meadowlark,37.73,1.576686805
America-Australia,Pedestrian,Passeriformes,Sturnidae ,Sturnus unicolor ,spotless starling ,13.2,1.120573931
America-Australia,Pedestrian,Passeriformes,Sturnidae ,Sturnus vulgaris,common starling ,14,1.146128036
America-Australia,Pedestrian,Passeriformes,Monarchidae,Symposiarchus trivirgatus,spectacled monarch,5.7,0.755874856
America-Australia,Pedestrian,Podicipediformes,Podicipedidae,Tachybaptus novaehollandiae,Australasian grebe ,37.6,1.575187845
America-Australia,Pedestrian,Anseriformes,Anatidae,Tadorna tadornoides,Australian shelduck,122.3,2.087426457
America-Australia,Pedestrian,Passeriformes,Estrildidae,Taeniopygia bichenovii,double-barred finch,6.2,0.792391689
America-Australia,Pedestrian,Passeriformes,Estrildidae,Taeniopygia guttata,zebra finch,14.7,1.167317335
America-Australia,Pedestrian,Charadriiformes,Charadriidae ,Thinornis rubricollis,hooded plover,26.3,1.419955748
America-Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Threskiornis molucca,Australian sacred ibis ,50.4,1.702430536
America-Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Threskiornis spinicollis,straw-necked ibis,84.9,1.92890769
America-Australia,Pedestrian,Ciconiiformes,Threskiornithidae,Threskornis molucca,Australian white ibis,35.03,1.544440137
America-Australia,Pedestrian,Coraciiformes,Halcyonidae ,Todiramphus macleayii,forest kingfisher,11,1.041392685
America-Australia,Pedestrian,Coraciiformes,Halcyonidae ,Todiramphus sanctus ,sacred kingfisher ,20.9,1.320146286
America-Australia,Pedestrian,Passeriformes,Petroicidae,Tregellasia capito,pale-yellow robin,8.5,0.929418926
America-Australia,Pedestrian,Psittaciformes,Psittacidae ,Trichoglossus chlorolepidotus,scaly-breasted lorikeet,1,0
America-Australia,Pedestrian,Psittaciformes,Psittacidae ,Trichoglossus haematodus ,rainbow lorikeet,10,1
America-Australia,Pedestrian,Charadriiformes,Scolopacidae ,Tringa brevipes,grey-tailed tattler ,23,1.361727836
America-Australia,Pedestrian,Charadriiformes,Scolopacidae ,Tringa hypoleucos,common sandpiper,43,1.633468456
America-Australia,Pedestrian,Charadriiformes,Scolopacidae,Tringa melanoleuca,greater yellowlegs,23,1.361727836
America-Australia,Pedestrian,Charadriiformes,Scolopacidae,Tringa nebularia,common greenshank,70,1.84509804
America-Australia,Pedestrian,Charadriiformes,Scolopacidae ,Tringa stagnatilis,marsh sandpiper,44.1,1.644438589
America-Australia,Pedestrian,Passeriformes,Turdidae ,Turdus merula,common blackbird,35.5,1.550228353
America-Australia,Pedestrian,Passeriformes,Turdidae,Turdus migratorius,American robin,11.7,1.068185862
America-Australia,Pedestrian,Gruiformes,Turnicidae,Turnix pyrrhothorax,red-chested button-quail,3.6,0.556302501
America-Australia,Pedestrian,Charadriiformes,Charadriidae,Vanellus miles,masked lapwing,79.7,1.901458321
America-Australia,Pedestrian,Charadriiformes,Charadriidae ,Vanellus tricolor,banded lapwing,74,1.86923172
America-Australia,Pedestrian,Columbiformes,Columbidae ,Zenaida macroura ,mourning dove ,15.8,1.198657087
America-Australia,Pedestrian,Passeriformes,Emberizidae ,Zonotrichia leucophrys ,white-crowned sparrow ,8.6,0.934498451
America-Australia,Pedestrian,Passeriformes,Muscicapidae ,Zoothera heinei,russet-tailed thrush,11,1.041392685
America-Australia,Pedestrian,Passeriformes,Muscicapidae ,Zoothera lunulata ,Bassian thrush,8.9,0.949390007
America-Australia,Pedestrian,Passeriformes,Zosteropidae ,Zosterops lateralis ,silvereye ,5.5,0.740362689
Europe,Pedestrian,Falconiformes,Accipitridae,Accipiter nisus,Eurasian sparrowhawk,10,1
Europe,Pedestrian,Passeriformes,Sylviidae ,Acrocephalus palustris,marsh warbler,8.84,0.946452265
Europe,Pedestrian,Passeriformes,Sylviidae ,Acrocephalus schoenobaenus ,sedge warbler,7.56,0.878521796
Europe,Pedestrian,Passeriformes,Aegithalidae,Aegithalos caudatus,long-tailed tit,4.64,0.666517981
Europe,Pedestrian,Passeriformes,Alaudidae,Alauda arvensis,skylark,14.9,1.173186268
Europe,Pedestrian,Coraciiformes,Alcedinidae,Alcedo atthis,Eurasian kingfisher,16.27,1.211387553
Europe,Pedestrian,Galliformes,Phasianidae,Alectoris rufa,red-legged partridge,30,1.477121255
Europe,Pedestrian,Passeriformes,Estrildidae,Amandava amandava,red avadavat,6.55,0.8162413
Europe,Pedestrian,Anseriformes,Anatidae,Anas crecca,Eurasian teal,39.23,1.593618308
Europe,Pedestrian,Passeriformes,Motacillidae ,Anthus campestris ,tawny pipit,18.22,1.260548373
Europe,Pedestrian,Passeriformes,Motacillidae ,Anthus pratensis,meadow pipit,16.98,1.229937686
Europe,Pedestrian,Passeriformes,Motacillidae ,Anthus spinoletta,water pipit,3.28,0.515873844
Europe,Pedestrian,Passeriformes,Motacillidae ,Anthus trivialis,tree pipit,13.37,1.126131407
Europe,Pedestrian,Apodiformes,Apodidae,Apus apus,common swift,38.1,1.580924976
Europe,Pedestrian,Ciconiiformes,Ardeidae,Ardea cinerea,grey heron,47.36,1.675411694
Europe,Pedestrian,Anseriformes,Anatidae,Aythya fuligula,tufted duck,10.68,1.028571253
Europe,Pedestrian,Anseriformes,Anatidae,Branta bernicla,brant goose,23.5,1.371067862
Europe,Pedestrian,Falconiformes,Accipitridae,Buteo buteo,common buzzard,54.06,1.732876041
Europe,Pedestrian,Falconiformes,Accipitridae,Buteo lagopus,rough-legged hawk,20.1,1.303196057
Europe,Pedestrian,Charadriiformes,Scolopacidae,Calidris alpina,dunlin,71,1.851258349
Europe,Pedestrian,Passeriformes,Fringillidae ,Carduelis cannabina,linnet,9.25,0.966141733
Europe,Pedestrian,Passeriformes,Fringillidae ,Carduelis carduelis,European goldfinch ,11.5,1.06069784
Europe,Pedestrian,Passeriformes,Fringillidae ,Carduelis chloris,European greenfinch ,6.9,0.838849091
Europe,Pedestrian,Passeriformes,Fringillidae ,Carduelis flammea,common redpoll,4.5,0.653212514
Europe,Pedestrian,Passeriformes,Fringillidae ,Carduelis spinus,Eurasian siskin,4.83,0.683947131
Europe,Pedestrian,Passeriformes,Certhiidae ,Certhia familiaris,Eurasian treecreeper,4.55,0.658011397
Europe,Pedestrian,Passeriformes,Cettiidae,Cettia cetti,Cetti's warbler,5.55,0.744292983
Europe,Pedestrian,Charadriiformes,Charadriidae,Charadrius dubius,little ringed plover,9,0.954242509
Europe,Pedestrian,Charadriiformes,Charadriidae,Charadrius hiaticula,ringed plover,22.5,1.352182518
Europe,Pedestrian,Ciconiiformes,Ciconiidae,Ciconia ciconia,white stork,35,1.544068044
Europe,Pedestrian,Passeriformes,Cisticolidae,Cisticola juncidis,streaked fantail warbler,5.32,0.725911632
Europe,Pedestrian,Passeriformes,Fringillidae ,Coccothraustes coccothraustes ,hawfinch,8.6,0.934498451
Europe,Pedestrian,Columbiformes,Columbidae ,Columba livia ,rock dove,3.5,0.544068044
Europe,Pedestrian,Columbiformes,Columbidae ,Columba palumbus,common woodpigeon,11.5,1.06069784
Europe,Pedestrian,Passeriformes,Corvidae ,Corvus corax,common raven,79.63,1.901076716
Europe,Pedestrian,Passeriformes,Corvidae ,Corvus corone,carrion crow,27.48,1.439016728
Europe,Pedestrian,Passeriformes,Corvidae ,Corvus frugilegus,rook ,59.9,1.777426822
Europe,Pedestrian,Passeriformes,Corvidae ,Corvus monedula,Eurasian jackdaw ,24.6,1.390935107
Europe,Pedestrian,Cuculiformes,Cuculidae ,Cuculus canorus,European cuckoo,25.89,1.41313205
Europe,Pedestrian,Anseriformes,Anatidae,Cygnus columbianus,tundra swan,200,2.301029996
Europe,Pedestrian,Anseriformes,Anatidae,Cygnus cygnus,whooper swan,155,2.190331698
Europe,Pedestrian,Passeriformes,Hirundinidae,Delichon urbica,common house martin,6.34,0.802089258
Europe,Pedestrian,Piciformes,Picidae ,Dendrocopos major,great spotted woodpecker,13.44,1.128399269
Europe,Pedestrian,Piciformes,Picidae ,Dryocopus martius,black woodpecker,38.71,1.587823171
Europe,Pedestrian,Passeriformes,Emberizidae,Emberiza cia,rock bunting,9.43,0.974511693
Europe,Pedestrian,Passeriformes,Emberizidae,Emberiza cirlus,Cirl bunting,7,0.84509804
Europe,Pedestrian,Passeriformes,Fringillidae ,Emberiza citrinella,yellowhammer ,12.4,1.093421685
Europe,Pedestrian,Passeriformes,Fringillidae ,Emberiza schoeniclus,reed bunting,9.81,0.991669007
Europe,Pedestrian,Passeriformes,Muscicapidae ,Erithacus rubecula,European robin ,11.1,1.045322979
Europe,Pedestrian,Falconiformes,Falconidae,Falco tinnunculus,common kestrel,30.94,1.490520309
Europe,Pedestrian,Passeriformes,Muscicapidae ,Ficedula hypoleuca ,European pied flycatcher,5.39,0.731588765
Europe,Pedestrian,Passeriformes,Fringillidae ,Fringilla coelebs,chaffinch ,8.7,0.939519253
Europe,Pedestrian,Passeriformes,Alaudidae,Galerida cristata,crested lark,14.33,1.15624619
Europe,Pedestrian,Passeriformes,Alaudidae,Galerida theklae,Thekla lark,7.65,0.883661435
Europe,Pedestrian,Charadriiformes,Scolopacidae,Gallinago gallinago,common snipe,72,1.857332496
Europe,Pedestrian,Gruiformes,Rallidae,Gallinula chloropus,common moorhen,10.03,1.001300933
Europe,Pedestrian,Passeriformes,Corvidae ,Garrulus glandarius,Eurasian jay,11.76,1.070407322
Europe,Pedestrian,Charadriiformes,Haematopodidae,Haematopus ostralegus,Eurasian oystercatcher ,82,1.913813852
Europe,Pedestrian,Passeriformes,Acrocephalidae,Hippolais icterina,Icterine warbler,7.52,0.876217841
Europe,Pedestrian,Passeriformes,Hirundinidae ,Hirundo daurica,red-rumped swallow,8.06,0.906335042
Europe,Pedestrian,Passeriformes,Hirundinidae ,Hirundo rustica,barn swallow,10.16,1.006893708
Europe,Pedestrian,Ciconiiformes,Ardeidae,Ixobrychus minutus,little bittern,35,1.544068044
Europe,Pedestrian,Passeriformes,Laniidae,Lanius collurio,red-backed shrike,7.27,0.861534411
Europe,Pedestrian,Passeriformes,Laniidae,Lanius excubitor,great grey shrike,21.16,1.325515663
Europe,Pedestrian,Passeriformes,Laniidae,Lanius senator,woodchat shrike,10.99,1.040997692
Europe,Pedestrian,Charadriiformes,Laridae,Larus canus,common gull,59.94,1.777716739
Europe,Pedestrian,Charadriiformes,Laridae,Larus fuscus,lesser black-backed gull,25,1.397940009
Europe,Pedestrian,Charadriiformes,Laridae,Larus marinus,great black-backed gull,68,1.832508913
Europe,Pedestrian,Charadriiformes,Laridae,Larus ridibundus,black-headed gull,41.2,1.614897216
Europe,Pedestrian,Passeriformes,Locustellidae,Locustella naevia,common grasshopper warbler,15.03,1.176958981
Europe,Pedestrian,Passeriformes,Fringillidae ,Loxia curvirostra,common crossbill,4.74,0.675778342
Europe,Pedestrian,Passeriformes,Alaudidae,Lullula arborea ,woodlark,12.14,1.084218687
Europe,Pedestrian,Passeriformes,Muscicapidae ,Luscinia luscinia ,thrush nightingale,15.89,1.201123897
Europe,Pedestrian,Passeriformes,Muscicapidae ,Luscinia megarhynchos,common nightingale,8.16,0.911690159
Europe,Pedestrian,Coraciiformes,Meropidae,Merops apiaster,European bee-eater,37.02,1.568436414
Europe,Pedestrian,Passeriformes,Emberizidae,Miliaria calandra,corn bunting,9.13,0.960470778
Europe,Pedestrian,Passeriformes,Muscicapidae,Monticola saxatilis,common rock thrush,16.67,1.2219356
Europe,Pedestrian,Passeriformes,Motacillidae,Motacilla alba,white wagtail,8.6,0.934498451
Europe,Pedestrian,Passeriformes,Motacillidae,Motacilla cinerea,grey wagtail,6.3,0.799340549
Europe,Pedestrian,Passeriformes,Motacillidae,Motacilla flava ,yellow wagtail ,9.7,0.986771734
Europe,Pedestrian,Passeriformes,Muscicapidae ,Muscicapa striata,spotted flycatcher,8.5,0.929418926
Europe,Pedestrian,Charadriiformes,Scolopacidae,Numenius americanus ,long-billed curlew ,25.7,1.409933123
Europe,Pedestrian,Charadriiformes,Scolopacidae,Numenius arquata,Eurasian curlew ,62.75,1.79761373
Europe,Pedestrian,Passeriformes,Muscicapidae ,Oenanthe oenanthe,northern wheatear,16.25,1.210853365
Europe,Pedestrian,Passeriformes,Oriolidae ,Oriolus oriolus,Eurasian golden oriole,39.67,1.5984622
Europe,Pedestrian,Passeriformes,Paridae ,Parus ater,coal tit ,5.09,0.706717782
Europe,Pedestrian,Passeriformes,Paridae ,Parus caeruleus,European blue tit ,4.8,0.681241237
Europe,Pedestrian,Passeriformes,Paridae ,Parus cristatus,crested tit,6.08,0.783903579
Europe,Pedestrian,Passeriformes,Paridae ,Parus major,great tit ,5.9,0.770852012
Europe,Pedestrian,Passeriformes,Paridae ,Parus palustris,marsh tit,6.88,0.837588438
Europe,Pedestrian,Passeriformes,Fringillidae ,Passer domesticua,house sparrow ,12.4,1.093421685
Europe,Pedestrian,Passeriformes,Fringillidae ,Passer hispaniolensis,Spanish sparrow,11.94,1.077004327
Europe,Pedestrian,Passeriformes,Fringillidae ,Passer montanus,Eurasian tree-sparrow ,5.11,0.7084209
Europe,Pedestrian,Galliformes,Phasianidae,Perdix perdix,grey partridge,32.71,1.514680544
Europe,Pedestrian,Galliformes,Phasianidae,Phasianus colchicus,ring-necked pheasant,62.2,1.793790385
Europe,Pedestrian,Passeriformes,Muscicapidae ,Phoenicurus ochruros,black redstart,6.95,0.841984805
Europe,Pedestrian,Passeriformes,Muscicapidae ,Phoenicurus phoenicurus,common redstart,9.1,0.959041392
Europe,Pedestrian,Passeriformes,Phylloscopidae,Phylloscopus bonelli,western Bonelli's warbler ,4.95,0.694605199
Europe,Pedestrian,Passeriformes,Phylloscopidae,Phylloscopus trochilus,willow warbler,6.28,0.797959644
Europe,Pedestrian,Passeriformes,Corvidae ,Pica pica,black-billed magpie,13,1.113943352
Europe,Pedestrian,Piciformes,Picidae,Picus viridis,Eurasian green woodpecker,17,1.230448921
Europe,Pedestrian,Piciformes,Picidae ,Picus viridis ,Eurasian green woodpecker ,16.5,1.217483944
Europe,Pedestrian,Passeriformes,Prunellidae,Prunella modularis,dunnock ,9.2,0.963787827
Europe,Pedestrian,Passeriformes,Fringillidae ,Pyrrhula pyrrhula,Eurasian bullfinch,5.9,0.770852012
Europe,Pedestrian,Passeriformes,Regulidae ,Regulus ignicapillus,common firecrest,5.25,0.720159303
Europe,Pedestrian,Passeriformes,Regulidae ,Regulus regulus,goldcrest,4.07,0.609594409
Europe,Pedestrian,Passeriformes,Remizidae,Remiz pendulinus,Eurasian penduline tit,6.17,0.790285164
Europe,Pedestrian,Passeriformes,Hirundinidae,Riparia riparia,sand martin,23.1,1.36361198
Europe,Pedestrian,Passeriformes,Muscicapidae ,Saxicola rubetra,whinchat,16.65,1.221414238
Europe,Pedestrian,Passeriformes,Muscicapidae ,Saxicola torquata,African stonechat,9.14,0.960946196
Europe,Pedestrian,Passeriformes,Fringillidae ,Serinus serinus,European serin,5.07,0.705007959
Europe,Pedestrian,Passeriformes,Sittidae,Sitta europaea,Eurasian nuthatch,6.59,0.818885415
Europe,Pedestrian,Columbiformes,Columbidae ,Streptopelia decaocto,Eurasian collared dove,5.38,0.730782276
Europe,Pedestrian,Passeriformes,Sylviidae,Sylvia atricapilla,blackcap,5.73,0.758154622
Europe,Pedestrian,Passeriformes,Sylviidae,Sylvia borin,garden warbler,6.44,0.808885867
Europe,Pedestrian,Passeriformes,Sylviidae,Sylvia cantillans,subalpine warbler,5.69,0.755112266
Europe,Pedestrian,Passeriformes,Sylviidae,Sylvia communis,whitethroat ,11.7,1.068185862
Europe,Pedestrian,Passeriformes,Sylviidae,Sylvia conspicillata,spectacled warbler,7.27,0.861534411
Europe,Pedestrian,Passeriformes,Sylviidae,Sylvia curruca,lesser whitethroat,4.7,0.672097858
Europe,Pedestrian,Passeriformes,Sylviidae,Sylvia melanocephala,Sardinian warbler,5.9,0.770852012
Europe,Pedestrian,Passeriformes,Sylviidae,Sylvia undata,Dartford warbler,10.86,1.035829825
Europe,Pedestrian,Anseriformes,Anatidae,Tadorna tadorna,shelduck,48.57,1.686368103
Europe,Pedestrian,Galliformes,Tetraonidae,Tetrao tetrix,black grouse,17,1.230448921
Europe,Pedestrian,Galliformes,Tetraonidae,Tetrao urogallus,capercaillie,27,1.431363764
Europe,Pedestrian,Charadriiformes,Scolopacidae,Tringa totanus,redshank,29.71,1.472902652
Europe,Pedestrian,Passeriformes,Troglodytidae,Troglodytes troglodytes,Eurasian wren,5.64,0.751279104
Europe,Pedestrian,Passeriformes,Turdidae ,Turdus iliacus,redwing,12.75,1.105510185
Europe,Pedestrian,Passeriformes,Turdidae,Turdus philomelos,song thrush ,15.8,1.198657087
Europe,Pedestrian,Passeriformes,Turdidae,Turdus pilaris,fieldfare,14.21,1.152594078
Europe,Pedestrian,Passeriformes,Turdidae ,Turdus viscivorus,mistle thrush,19.33,1.286231854
Europe,Pedestrian,Coraciiformes,Upupidae,Upupa epops,hoopoe,19.96,1.300160537
Europe,Pedestrian,Charadriiformes,Charadriidae ,Vanellus vanellus,northern lapwing,41.32,1.616160313
