Continent,Disturbance,Order,Family,Scientific.name,Common.name,FID,log.fid
America-Australia,Pedestrian,Charadriiformes,Scolopacidae ,Caldris ferruginea,curlew sandpiper,25.19,1.401228167
America-Australia,Pedestrian,Charadriiformes,Scolopacidae ,Caldris melanotos,pectoral sandpiper,23,1.361727836
America-Australia,Pedestrian,Charadriiformes,Scolopacidae ,Caldris ruficollis,red-necked stinta,18.73,1.272537777
America-Australia,Pedestrian,Charadriiformes,Scolopacidae,Calidris canutus,red knot,21.3,1.328379603
America-Australia,Pedestrian,Charadriiformes,Scolopacidae,Calidris mauri,western sandpiper,10,1
America-Australia,Pedestrian,Charadriiformes,Scolopacidae,Calidris minutilla ,least sandpiper,9.2,0.963787827
America-Australia,Pedestrian,Charadriiformes,Scolopacidae,Calidris ruficollis,red-necked stint,20,1.301029996
America-Australia,Pedestrian,Psittaciformes,Cacatuidae,Callocephalon fimbriatum,gang-gang cockatoo,7.5,0.875061263
America-Australia,Pedestrian,Trochiliformes,Trochilidae ,Calypte anna ,Anna’s hummingbird ,6.7,0.826074803
America-Australia,Pedestrian,Psittaciformes,Cacatuidae,Calyptorhynchus banksii,red-tailed black-cockatoo,10.9,1.037426498
America-Australia,Pedestrian,Psittaciformes,Cacatuidae,Calyptorhynchus funereus,yellow-tailed black-cockatoo,11.7,1.068185862
America-Australia,Pedestrian,Passeriformes,Fringillidae ,Carpodacus mexicanus ,house finch ,9.6,0.982271233
America-Australia,Pedestrian,Charadriiformes,Scolopacidae,Catoptrophorus semipalmatus,willet,17,1.230448921
America-Australia,Pedestrian,Cuculiformes,Cuculidae ,Centropus phasianinus,pheasant coucal,30.5,1.484299839
America-Australia,Pedestrian,Anseriformes,Anatidae,Cereopsis novaehollandiae,Cape Barren goose,82.6,1.916980047
America-Australia,Pedestrian,Passeriformes,Certhiidae ,Certhia brachydactyla ,short-toed treecreeper ,7.2,0.857332496
America-Australia,Pedestrian,Coraciiformes,Alcedinidae,Ceyx azureus,azure kingfisher,11.7,1.068185862
America-Australia,Pedestrian,Cuculiformes,Cuculidae ,Chalcites basalis,Horsfield's bronze-cuckoo,3.5,0.544068044
America-Australia,Pedestrian,Columbiformes,Columbidae ,Chalcophaps indica,emerald dove,14.2,1.152288344
America-Australia,Pedestrian,Passeriformes,Timaliidae ,Chamaea fasciata ,wrentit ,5,0.698970004
America-Australia,Pedestrian,Charadriiformes,Charadriidae ,Charadrius bicinctus,double-banded plover,32.14,1.507045872
America-Australia,Pedestrian,Charadriiformes,Charadriidae ,Charadrius mongolus,lesser sand plover,16.7,1.222716471
America-Australia,Pedestrian,Charadriiformes,Charadriidae ,Charadrius ruficapillus,red-capped plover,32.75,1.515211304
America-Australia,Pedestrian,Anseriformes,Anatidae,Chenonetta jubata ,Australian wood duck,25.5,1.40654018
America-Australia,Pedestrian,Charadriiformes,Laridae ,Chlidonias hybrida,whiskered tern,21.4,1.330413773
America-Australia,Pedestrian,Falconiformes,Accipitridae ,Circus assimilis,spotted harrier,22,1.342422681
America-Australia,Pedestrian,Passeriformes,Sylviidae ,Cisticola exilis ,golden-headed cisticola,5.2,0.716003344
America-Australia,Pedestrian,Charadriiformes,Recurvirostridae ,Cladorhynchus leucocephalus,banded stilt,32.8,1.515873844
America-Australia,Pedestrian,Passeriformes,Climacteridae ,Climacteris affinis,white-browed treecreeper,3.1,0.491361694
America-Australia,Pedestrian,Passeriformes,Climacteridae ,Climacteris picumnus ,brown treecreeper ,5.1,0.707570176
America-Australia,Pedestrian,Passeriformes,Pachycephalidae ,Colluricincla harmonica ,grey shrike-thrush ,12.8,1.10720997
America-Australia,Pedestrian,Columbiformes,Columbidae ,Columba leucomela,white-headed pigeon,26,1.414973348
America-Australia,Pedestrian,Passeriformes,Campephagidae ,Coracina novaehollandiae,black-faced cuckoo-shrike ,21.1,1.324282455
America-Australia,Pedestrian,Passeriformes,Campephagidae ,Coracina papuensis,white-bellied cuckoo-shrike,7.1,0.851258349
America-Australia,Pedestrian,Passeriformes,Corcoracidae ,Corcorax melanorhamphos,white-winged chough ,16.2,1.209515015
America-Australia,Pedestrian,Passeriformes,Climacteridae ,Cormobates leucophaeus ,white-throated treecreeper ,5.8,0.763427994
America-Australia,Pedestrian,Passeriformes,Corvidae,Corvus coronoides ,Australian raven ,23.8,1.376576957
America-Australia,Pedestrian,Passeriformes,Corvidae ,Corvus orru,Torresian crow,19,1.278753601
America-Australia,Pedestrian,Galliformes,Phasianidae,Coturnix pectoralis,stubble quail,1.9,0.278753601
America-Australia,Pedestrian,Galliformes,Phasianidae,Coturnix ypsilophora,brown quail,5.5,0.740362689
America-Australia,Pedestrian,Passeriformes,Artamidae ,Cracticus nigrogularis,pied butcherbird,9.5,0.977723605
America-Australia,Pedestrian,Passeriformes,Artamidae,Cracticus tibicen,Australian magpie,40.3,1.605305046
America-Australia,Pedestrian,Passeriformes,Artamidae ,Cracticus torquatus ,grey butcherbird ,19.3,1.285557309
America-Australia,Pedestrian,Anseriformes,Anatidae,Cygnus atratus,black swan,78.3,1.893761762
America-Australia,Pedestrian,Coraciiformes,Halcyonidae ,Dacelo leachii,blue-winged kookaburra,23,1.361727836
America-Australia,Pedestrian,Coraciiformes,Halcyonidae ,Dacelo novaeguineae ,laughing kookaburra ,10.5,1.021189299
America-Australia,Pedestrian,Anseriformes,Anatidae,Dendrocygna eytoni,plumed whistling duck,130,2.113943352
America-Australia,Pedestrian,Passeriformes,Parulidae ,Dendroica coronata ,yellow-rumped warbler,8,0.903089987
America-Australia,Pedestrian,Passeriformes,Parulidae,Dendroica petechia,yellow warbler ,6.5,0.812913357
America-Australia,Pedestrian,Passeriformes,Dicruridae,Dicrurus bracteatus,spangled drongo,15.4,1.187520721
America-Australia,Pedestrian,Struthioniformes,Casuariidae,Dromaius novaehollandiae,emu,58.7,1.768638101
America-Australia,Pedestrian,Columbiformes,Columbidae ,Ducula bicolor,pied imperial-pigeon,21.5,1.33243846
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Egretta caerulea ,little blue heron,23.02,1.362105319
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Egretta garzetta,little egret ,62.3,1.794488047
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Egretta novaehollandiae,white-faced heron,46.4,1.666517981
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Egretta sacra,eastern reef egret,31.1,1.492760389
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Egretta thula,snowy egret,10,1
America-Australia,Pedestrian,Ciconiiformes,Ardeidae,Egretta tricolor ,tricolored heron,24.09,1.3818368
America-Australia,Pedestrian,Falconiformes,Accipitridae ,Elanus axillaris ,black-shouldered kite ,23.1,1.36361198
America-Australia,Pedestrian,Charadriiformes,Charadriidae,Elseyornis melanops,black-fronted dotterel ,24.8,1.394451681
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Entomyzon cyanotis,blue-faced honeyeater,30.8,1.488550717
America-Australia,Pedestrian,Passeriformes,Petroicidae ,Eopsaltria australis,eastern yellow robin ,9.5,0.977723605
America-Australia,Pedestrian,Passeriformes,Meliphagidae ,Epthianura albifrons ,white-fronted chat,22.6,1.354108439
