"","sex","inequality"
"1","male",17.6431546464286
"2","male",10.7846401939286
"3","male",14.1661590696429
"4","male",10.6791567621429
"5","male",11.9442962721429
"6","male",13.6566897635714
"7","male",12.5358325385714
"8","male",12.9435599271429
"9","male",13.5834091225
"10","male",10.6729203125
"11","male",17.5402756171429
"12","male",17.5930251592857
"13","male",13.1909020585714
"14","male",10.4077396275
"15","male",13.1356648796429
"16","male",14.1778888014286
"17","male",12.1364204007143
"18","male",13.4134134714286
"19","male",12.0621848725
"20","male",14.2990320260714
"21","male",13.3388889907143
"22","male",11.8662764428571
"23","male",13.5485417482143
"24","male",11.7458635782143
"25","male",12.2224565446429
"26","male",11.1578994296429
"27","male",12.9002993028571
"28","male",13.2185133560714
"29","male",11.1093171517857
"30","male",11.1193148910714
"31","male",12.0743937417857
"32","male",12.7762630610714
"33","male",11.9333479735714
"34","male",11.7740496010714
"35","male",14.9802054410714
"36","male",12.6283128917857
"37","male",13.5139140214286
"38","male",12.8274934014286
"39","male",10.8712502642857
"40","male",11.0539148189286
"41","male",11.4058266417857
"42","male",10.4254712810714
"43","male",12.6715981028571
"44","male",12.1417891964286
"45","male",13.9338934796429
"46","male",11.3980941921429
"47","male",10.3834637821429
"48","male",11.7971898796429
"49","male",12.3937412071429
"50","male",10.8694559814286
"51","male",11.5523007164286
"52","male",11.4712676185714
"53","male",14.0574992357143
"54","male",13.1534829085714
"55","male",11.2975968364286
"56","male",12.7257850307143
"57","male",13.5409230910714
"58","male",12.1204973032143
"59","male",13.1220812210714
"60","male",13.2053297553571
"61","male",11.4067764207143
"62","male",11.8158031221429
"63","male",12.5001915417857
"64","male",12.25295339
"65","male",14.4885477678571
"66","male",10.7326214039286
"67","male",14.0460094560714
"68","male",12.5199296839286
"69","male",12.4625729310714
"70","male",11.9185263182143
"71","male",13.0743225564286
"72","male",10.8826728953571
"73","male",14.970002815
"74","male",14.383366185
"75","male",12.5121163507143
"76","male",11.5511261321429
"77","male",10.7673524364286
"78","male",13.2480795889286
"79","male",11.7168766314286
"80","male",14.0387678039286
"81","male",16.5573121421429
"82","male",13.3477331935714
"83","male",11.3108991746429
"84","male",10.9493148853571
"85","male",11.5662406453571
"86","male",11.5947667242857
"87","male",14.1018575846429
"88","male",13.23563096
"89","male",14.0200166414286
"90","male",14.3866729353571
"91","male",11.8612063942857
"92","male",12.2123035764286
"93","male",10.4371039971429
"94","male",11.3144149117857
"95","male",13.14593239
"96","male",14.8045626596429
"97","male",10.5407699957143
"98","male",17.2220003378571
"99","male",12.8090788317857
"100","male",14.3678953332143
"101","male",12.5305123067857
"102","male",13.5602565978571
"103","male",13.0368832082143
"104","male",12.3471153139286
"105","male",14.2813120603571
"106","male",11.180195805
"107","male",11.9925060375
"108","male",11.3205418478571
"109","male",13.6060784875
"110","male",11.093770025
"111","male",12.2642569435714
"112","male",11.94860376
"113","male",11.8007373828571
"114","male",15.1278275921429
"115","male",13.96034807
"116","male",11.6092450585714
"117","male",13.88477648
"118","male",12.0916816942857
"119","male",13.7447845517857
"120","male",13.3746316360714
"121","male",13.57609326
"122","male",10.8128549378571
"123","male",12.2810548628571
"124","male",11.9175195889286
"125","male",11.4270409846429
"126","male",11.1494655157143
"127","male",11.3586605253571
"128","male",13.3285836146429
"129","male",11.12741828
"130","male",11.632543525
"131","male",11.0060033925
"132","male",10.1729435448929
"133","male",11.1479579096429
"134","male",11.7171163653571
"135","male",11.5733702567857
"136","male",11.3052703539286
"137","male",10.9866739207143
"138","male",15.8179720632143
"139","male",12.5014441164286
"140","male",11.0190532839286
"141","male",12.6382213439286
"142","male",13.0017878835714
"143","male",14.6978137371429
"144","male",17.2887367603571
"145","male",10.8029384739286
"146","male",12.0683783714286
"147","male",11.9880323010714
"148","male",15.0529267407143
"149","male",16.2268750632143
"150","male",11.7289721167857
"151","male",16.3142501242857
"152","male",11.020424805
"153","male",14.8869134357143
"154","male",11.2419987060714
"155","male",13.5055133392857
"156","male",11.8283821225
"157","male",15.9222654685714
"158","male",10.6465154592857
"159","male",11.3214644946429
"160","male",12.8225193046429
"161","male",11.7151682692857
"162","male",10.7394089635714
"163","male",11.0385622264286
"164","male",14.07719016
"165","male",13.5824746371429
"166","male",13.6930729896429
"167","male",10.7389517721429
"168","male",11.6781742935714
"169","male",12.2538619896429
"170","male",13.4118146717857
"171","male",13.3453302403571
"172","male",10.9715575667857
"173","male",11.3483881260714
"174","male",13.1729790392857
"175","male",13.453585195
"176","male",11.6437059721429
"177","male",11.0703821489286
"178","male",10.6667940082143
"179","male",11.7519544428571
"180","male",12.1499974735714
"181","male",10.9289317685714
"182","male",11.5429256803571
"183","male",11.3336760921429
"184","male",12.6994497064286
"185","male",12.6284250192857
"186","male",14.2101074321429
"187","male",10.8304937653571
"188","male",11.8273297414286
"189","male",10.7580578053571
"190","male",11.1873351978571
"191","male",13.6803302971429
"192","male",12.6303582810714
"193","male",14.59749583
"194","male",11.6513659082143
"195","male",12.2719345307143
"196","male",16.4286595714286
"197","male",13.9016328935714
"198","male",12.8622070753571
"199","male",14.1709243410714
"200","male",13.6707582564286
"201","male",14.6851924682143
"202","male",11.6074370014286
"203","male",10.7451948303571
"204","male",11.9621751992857
"205","male",12.6085965707143
"206","male",11.9019498817857
"207","male",11.8277493410714
"208","male",10.7581488921429
"209","male",13.84361679
"210","male",13.2075094471429
"211","male",15.2222959292857
"212","male",14.3591491575
"213","male",10.7140903282143
"214","male",13.2032244717857
"215","male",12.16155381
"216","male",12.331768225
"217","male",14.0515791471429
"218","male",16.3605945578571
