ID,autocompasion,momento
1,65,pretest
2,106,pretest
3,45,pretest
4,116,pretest
5,75,pretest
6,46,pretest
7,54,pretest
8,79,pretest
9,55,pretest
10,99,pretest
11,52,pretest
12,73,pretest
13,51,pretest
14,88,pretest
15,76,pretest
16,68,pretest
1,114,postest
2,120,postest
3,74,postest
4,129,postest
5,105,postest
6,97,postest
7,95,postest
8,103,postest
9,109,postest
10,101,postest
11,94,postest
12,76,postest
13,77,postest
14,98,postest
15,86,postest
16,88,postest
