edad,sexo,AQ,miedo,perseverancia
27,masculino,20,14,15
37,femenino,8,4,14
19,femenino,12,13,20
22,masculino,19,9,19
20,femenino,13,12,13
25,femenino,14,12,12
23,masculino,21,8,11
23,masculino,11,9,17
21,masculino,24,11,15
30,masculino,9,8,3
20,femenino,11,9,17
25,masculino,14,7,7
38,masculino,12,8,11
22,masculino,14,10,10
19,femenino,23,11,17
21,masculino,17,10,11
23,masculino,19,9,10
19,femenino,20,16,17
22,femenino,11,8,8
19,femenino,13,14,20
24,masculino,18,13,15
23,femenino,11,9,18
30,femenino,12,10,5
22,masculino,22,6,10
19,femenino,11,14,18
30,femenino,14,10,14
22,masculino,18,7,10
20,femenino,11,11,13
40,femenino,23,13,18
21,masculino,24,11,18
20,femenino,11,14,13
20,femenino,12,15,19
21,masculino,28,6,12
23,femenino,7,8,13
20,femenino,19,17,16
21,femenino,7,9,17
23,femenino,13,10,12
20,femenino,19,8,16
23,femenino,10,12,6
24,masculino,12,5,8
19,femenino,14,14,15
19,femenino,8,8,13
25,femenino,18,10,18
23,masculino,27,12,14
19,femenino,12,12,18
21,femenino,14,11,12
22,masculino,14,5,10
30,femenino,15,9,18
19,femenino,21,13,17
23,masculino,27,12,15
26,masculino,12,4,6
22,femenino,22,19,17
19,femenino,22,11,19
21,femenino,7,8,13
25,femenino,11,9,12
24,femenino,16,10,16
22,femenino,9,7,10
38,femenino,18,10,17
22,masculino,18,13,10
25,femenino,9,7,15
21,masculino,12,8,6
38,femenino,26,13,13
21,masculino,7,7,10
27,femenino,13,11,16
19,femenino,19,18,20
25,femenino,12,11,15
19,femenino,22,13,16
21,masculino,23,9,9
20,masculino,11,8,8
22,femenino,11,11,13
19,femenino,17,4,19
22,femenino,10,8,9
19,femenino,12,14,19
23,femenino,15,8,14
28,femenino,12,7,8
22,femenino,13,12,19
21,femenino,17,10,11
21,masculino,13,12,15
22,femenino,13,6,17
21,femenino,16,11,14
23,masculino,13,6,10
40,femenino,14,9,12
23,femenino,15,7,9
20,masculino,19,13,16
22,masculino,19,7,11
23,masculino,12,4,10
23,masculino,13,6,6
20,masculino,10,8,5
31,femenino,13,13,10
24,masculino,1,6,5
20,femenino,15,8,13
23,masculino,11,8,8
21,femenino,14,15,8
19,femenino,19,10,11
23,masculino,22,13,16
23,femenino,12,7,12
22,masculino,18,10,8
25,femenino,11,11,15
19,femenino,9,9,16
24,masculino,31,10,17
24,femenino,10,12,13
28,masculino,34,13,16
25,masculino,16,12,19
20,masculino,36,9,10
29,masculino,17,7,7
21,masculino,23,8,14
23,masculino,12,8,13
23,masculino,14,8,13
26,masculino,11,8,18
25,masculino,28,13,17
20,femenino,14,8,19
23,femenino,11,8,10
20,femenino,16,11,11
23,femenino,11,12,16
20,femenino,19,12,16
22,femenino,11,10,12
20,femenino,12,9,12
19,femenino,6,10,10
23,femenino,16,11,14
23,femenino,14,12,13
20,femenino,15,12,20
23,femenino,11,8,17
29,femenino,15,12,14
22,femenino,13,14,8
24,femenino,25,14,11
24,femenino,15,16,15
23,femenino,21,19,17
23,femenino,9,9,11
26,masculino,21,9,6
23,masculino,13,11,11
23,femenino,15,12,12
23,femenino,11,8,10
24,femenino,15,17,11
23,femenino,8,13,15
20,femenino,15,11,20
21,masculino,9,11,13
23,femenino,15,8,18
23,femenino,15,11,12
21,masculino,23,19,18
23,masculino,7,11,8
23,femenino,22,18,20
23,femenino,7,8,10
20,masculino,23,10,10
24,femenino,15,14,12
22,masculino,17,11,15
25,femenino,7,13,19
21,femenino,26,10,15
22,femenino,12,10,14
22,masculino,27,8,15
21,femenino,15,14,16
21,femenino,21,15,17
22,femenino,11,7,15
23,masculino,24,8,15
19,femenino,17,12,20
22,femenino,17,17,19
24,femenino,9,6,18
22,femenino,19,12,15
24,femenino,8,15,19
22,femenino,18,10,18
24,femenino,9,15,19
22,femenino,10,10,17
30,femenino,12,8,13
25,femenino,24,14,18
20,femenino,13,4,5
30,masculino,16,10,17
22,masculino,19,10,14
22,femenino,19,6,16
20,femenino,13,8,19
22,femenino,17,12,18
21,femenino,24,13,17
28,femenino,13,10,9
19,femenino,20,11,11
20,femenino,23,11,16
22,femenino,11,12,20
20,femenino,11,9,13
21,femenino,27,14,13
20,femenino,16,10,18
31,femenino,17,15,19
22,femenino,17,13,18
22,femenino,14,15,20
21,femenino,14,8,10
20,femenino,12,12,12
20,femenino,9,14,16
20,femenino,8,13,17
30,femenino,21,14,15
20,femenino,13,7,17
20,femenino,17,9,14
20,femenino,19,14,18
21,femenino,15,9,17
23,femenino,15,9,15
20,femenino,23,8,16
20,femenino,13,12,12
20,femenino,12,16,17
20,femenino,18,14,17
19,femenino,19,14,17
20,femenino,16,12,15
21,femenino,13,12,19
21,femenino,10,14,17
24,femenino,13,12,15
20,femenino,12,8,17
25,femenino,15,16,17
21,femenino,10,18,11
20,femenino,17,10,16
23,femenino,14,8,4
20,femenino,12,11,17
21,femenino,18,13,18
20,femenino,15,13,17
23,femenino,19,11,8
20,femenino,19,9,10
20,femenino,14,13,18
20,femenino,15,10,8
21,femenino,15,17,18
24,masculino,14,11,14
23,masculino,20,15,13
24,masculino,21,14,18
23,masculino,25,14,14
23,masculino,23,10,7
23,masculino,16,10,8
22,masculino,9,7,9
24,masculino,29,15,13
35,masculino,15,9,17
24,masculino,13,6,10
23,masculino,17,7,14
19,femenino,12,9,14
19,femenino,11,8,14
22,femenino,17,14,11
20,masculino,15,9,17
19,femenino,15,12,9
21,femenino,12,13,18
27,masculino,17,6,10
22,femenino,13,12,17
25,masculino,16,10,11
23,masculino,19,7,15
24,masculino,26,6,10
19,masculino,14,7,16
24,femenino,13,9,17
23,femenino,11,6,13
22,masculino,17,6,13
20,masculino,11,7,7
31,masculino,29,15,17
30,masculino,14,8,16
31,masculino,19,7,13
20,femenino,12,13,11
24,masculino,12,4,3
23,masculino,8,6,13
19,femenino,17,11,15
20,masculino,28,10,15
24,masculino,11,5,20
22,masculino,14,12,8
19,masculino,19,10,8
20,masculino,29,9,12
21,masculino,14,12,18
24,masculino,10,7,15
23,femenino,17,10,14
23,masculino,14,13,20
23,masculino,14,11,6
25,masculino,20,9,5
23,masculino,16,10,13
23,masculino,14,11,8
23,masculino,22,9,18
23,femenino,10,8,15
25,masculino,21,5,14
23,masculino,17,10,5
22,masculino,10,7,11
21,masculino,16,8,14
22,masculino,13,13,14
24,masculino,19,6,11
20,masculino,9,6,15
23,masculino,20,12,19
23,masculino,18,9,8
24,masculino,14,10,14
24,masculino,13,9,15
28,masculino,28,6,15
23,masculino,18,13,13
22,masculino,15,6,13
23,masculino,10,4,6
22,masculino,16,8,7
23,masculino,17,6,13
22,femenino,11,7,19
22,femenino,15,14,16
23,femenino,15,9,11
23,masculino,15,10,17
23,masculino,32,19,17
22,masculino,22,5,20
23,masculino,16,4,9
22,masculino,16,9,15
25,masculino,16,8,17
22,masculino,15,6,6
23,masculino,17,7,14
23,masculino,33,14,17
22,masculino,15,10,13
22,masculino,18,9,18
22,masculino,14,4,4
22,masculino,13,7,13
25,masculino,12,10,7
23,masculino,16,10,12
23,masculino,24,11,18
24,masculino,16,15,17
23,masculino,20,7,6
24,masculino,21,10,4
23,masculino,13,4,5
23,masculino,29,12,17
22,masculino,16,8,5
24,masculino,18,8,15
24,masculino,15,6,8
29,masculino,24,11,16
24,masculino,12,9,16
24,masculino,17,11,12
23,masculino,17,12,14
23,masculino,9,6,6
22,masculino,25,11,17
23,masculino,14,10,15
22,masculino,22,10,13
23,masculino,25,9,5
24,masculino,18,11,20
23,masculino,17,8,14
23,masculino,14,7,13
23,masculino,22,11,19
22,masculino,29,11,18
23,masculino,18,10,16
22,masculino,26,12,18
19,femenino,9,9,14
21,femenino,16,8,9
19,masculino,13,11,10
23,femenino,14,14,19
21,femenino,16,8,13
20,femenino,19,8,11
21,femenino,26,10,14
38,femenino,18,12,18
