"","ciudad","paro","violencia","educacion"
"123","Peoria city",6.46714,6.6527967,12.325714
"124","Rockford city",9.04,7.1609497,18.049995
"125","Springfield city",5.5457144,6.814909,9.207147
"126","Evansville city",5.008572,6.050099,13.738576
"127","Fort Wayne city",6.257143,5.7959547,12.501432
"128","Indianapolis city (balance)",7.0328565,7.046112,15.877146
"129","Cedar Rapids city",3.8957152,5.5058684,7.1428604
"130","Davenport city",4.362858,6.330062,10.384291
"131","Des Moines city",5.7500005,6.183568,13.30857
"132","Kansas City city",7.9228587,6.2913966,22.83428
"133","Olathe city",3.787143,4.784418,6.221428
"134","Overland Park city",3.3828566,4.9350443,3.708572
"135","Topeka city",4.957142,6.353678,11.731432
"136","Wichita city",5.505713,6.533589,13.364288
"137","Baton Rouge city",6.19143,6.970585,14.897136
"138","Lafayette city",4.391426,6.44432,14.742855
"139","New Orleans city",6.9257135,6.6750193,16.609995
"140","Shreveport city",5.1414294,6.591666,15.474285
"141","Baltimore city",8.27,7.2176056,20.86429
"142","Boston city",6.51857,6.682272,15.887149
"143","Cambridge city",3.9300005,5.960296,6.715717
"144","Springfield city",8.417142,6.9287267,24.52001
"145","Ann Arbor city",4.1585712,5.118086,3.6685722
"146","Detroit city",13.498576,7.6342497,23.384275
"147","Grand Rapids city",7.452858,6.619072,16.418568
"148","Lansing city",8.208573,6.7596545,13.82428
"149","Sterling Heights city",5.9185724,5.111749,13.724291
"150","Warren city",7.3071413,6.141788,17.135704
"151","Minneapolis city",6.2614307,6.794496,11.612859
"152","Rochester city",3.3628564,5.004346,6.8757124
"153","St. Paul city",6.291426,6.507657,13.992863
"154","Jackson city",7.481428,6.7835565,17.100004
"155","Columbia city",3.7499995,5.9725413,6.7928543
"156","Independence city",5.247143,6.0455747,13.342863
"157","Kansas City city",5.9457145,7.1021233,12.772852
"158","St. Louis city",8.841429,7.4455166,18.475708
"159","Springfield city",5.5900016,6.807052,12.920001
"160","Billings city",2.9299998,5.7508883,7.6985693
