region,ave,FID
America-Australia,Lichenostomus flavus,6.4
America-Australia,Lichenostomus fuscus,14.6
America-Australia,Lichenostomus leucotis,8.8
America-Australia,Lichenostomus penicillatus,16.7
America-Australia,Lichenostomus virescens,12
America-Australia,Lichmera indistincta ,9.8
America-Australia,Limnodromus griseus ,12.7
America-Australia,Limosa fedoa ,17.7
America-Australia,Limosa lapponica,48.6
America-Australia,Limosa limosa,31.25
America-Australia,Lonchura castaneothorax ,14.4
America-Australia,Lonchura punctulata ,11.1
America-Australia,Lopholaimus antarcticus,15
America-Australia,Macropygia amboinensis ,8.9
America-Australia,Malacorhynchus membranaceus,31.5
America-Australia,Malurus cyaneus,6.5
America-Australia,Malurus lamberti ,4.5
America-Australia,Manorina melanocephala ,7.5
America-Australia,Manorina melanophrys ,2.7
America-Australia,Megalurus gramineus,6.5
America-Australia,Megalurus timoriensis,6
America-Australia,Megapodius reinwardt,25.9
America-Australia,Meliphaga lewinii ,8.2
America-Australia,Melospiza melodia ,8.3
America-Australia,Menura novaehollandiae,10.5
America-Australia,Merops ornatus,23
America-Australia,Mesophoyx intermedia,30.6
America-Australia,Microcarbo melanoleucos,46.1
America-Australia,Milvus migrans,57
America-Australia,Monarcha melanopsis,11
America-Australia,Motacilla alba ,7.7
America-Australia,Myiagra cyanoleuca,9.7
America-Australia,Myiagra rubecula,10
America-Australia,Myzomela obscura,2
America-Australia,Nectarinia jugularis,10.9
America-Australia,Neochmia temporalis ,7.1
America-Australia,Numenius madagascariensis,97.5
America-Australia,Numenius phaeopus,90
America-Australia,Nycticorax caledonicus,16.6
America-Australia,Ocyphaps lophotes ,12.6
America-Australia,Origma solitaria,17.1
America-Australia,Oriolus sagittatus ,10.2
America-Australia,Orthonyx spaldingii,4
America-Australia,Orthonyx temminckii,4.5
America-Australia,Oxyura australis,68.3
America-Australia,Pachycephala olivacea,3.8
America-Australia,Pachycephala pectoralis ,7.9
America-Australia,Pachycephala rufiventris,5.2
America-Australia,Pardalotus punctatus,4
