"","periodo","coste"
"1","conf",3.66666666666667
"2","conf",2.66666666666667
"3","conf",4.44444444444444
"4","conf",3.44444444444444
"5","conf",2.88888888888889
"6","conf",4.33333333333333
"7","conf",4.33333333333333
"8","conf",3
"9","conf",3
"10","conf",2.66666666666667
"11","conf",3.44444444444444
"12","conf",3
"13","conf",2.77777777777778
"14","conf",4
"15","conf",2.22222222222222
"16","conf",2.66666666666667
"17","conf",3.33333333333333
"18","conf",2.88888888888889
"19","conf",3.88888888888889
"20","conf",3.44444444444444
"21","conf",3.55555555555556
"22","conf",4
"23","conf",3.66666666666667
"24","conf",2.55555555555556
"25","conf",3.33333333333333
"26","conf",3.11111111111111
"27","conf",3.77777777777778
"28","conf",2.66666666666667
"29","conf",3.66666666666667
"30","conf",3.66666666666667
"31","conf",2.77777777777778
"32","conf",2.77777777777778
"33","conf",3.44444444444444
"34","conf",2.55555555555556
"35","conf",3.22222222222222
"36","conf",4.22222222222222
"37","conf",2.66666666666667
"38","conf",3.55555555555556
"39","post-conf",2.33333333333333
"40","post-conf",3.11111111111111
"41","post-conf",2.22222222222222
"42","post-conf",2.44444444444444
"43","post-conf",3
"44","post-conf",1.77777777777778
"45","post-conf",1.66666666666667
"46","post-conf",3.33333333333333
"47","post-conf",2.66666666666667
"48","post-conf",3.44444444444444
"49","post-conf",3.22222222222222
"50","post-conf",3.11111111111111
"51","post-conf",3.22222222222222
"52","post-conf",2
"53","post-conf",3.55555555555556
"54","post-conf",3.33333333333333
"55","post-conf",3.22222222222222
"56","post-conf",3.33333333333333
"57","post-conf",2.33333333333333
"58","post-conf",3.22222222222222
"59","post-conf",2.44444444444444
"60","post-conf",1.66666666666667
"61","post-conf",2.33333333333333
"62","post-conf",3.44444444444444
"63","post-conf",2.66666666666667
"64","post-conf",3.11111111111111
"65","post-conf",1.88888888888889
"66","post-conf",3.11111111111111
"67","post-conf",2.33333333333333
"68","post-conf",2.33333333333333
"69","post-conf",3.22222222222222
"70","post-conf",3.11111111111111
"71","post-conf",2
"72","post-conf",3.44444444444444
"73","post-conf",2.88888888888889
"74","post-conf",2
"75","post-conf",3.33333333333333
"76","post-conf",2.55555555555556
