Continent,Disturbance,Order,Family,Scientific name ,Common name ,FID
Australia,Pedestrian,Anseriformes,Anatidae ,Cygnus atratus,black swan ,149.0
Australia,Pedestrian,Anseriformes,Anatidae ,Cygnus atratus ,black swan,50.4
Australia,Pedestrian,Anseriformes,Anatidae ,Tadorna tadornoides,Australian shelduck,145.0
Australia,Pedestrian,Charadriiformes,Burhinidae,Burhinus grallarius ,bush stone-curlew,25.9
Australia,Non-motorized watercraft,Charadriiformes,Charadriidae,Elseyornis melanops,black-fronted dotterel ,9
Australia,Pedestrian,Charadriiformes,Charadriidae,Elseyornis melanops,black-fronted dotterel ,24.8
Australia,Non-motorized watercraft,Charadriiformes,Charadriidae,Erythrogonys cinctus,red-kneed dotterel,12.3
Australia,Motorized vehicle,Charadriiformes,Charadriidae,Vanellus miles,masked lapwing,40.8
Australia,Pedestrian,Charadriiformes,Charadriidae,Vanellus miles,masked lapwing,79.7
Australia,Motorized vehicle,Charadriiformes,Charadriidae,Vanellus miles ,masked lapwing  ,49.9
Australia,Pedestrian,Charadriiformes,Charadriidae ,Charadrius bicinctus,double-banded plover,32.14
Australia,Pedestrian,Charadriiformes,Charadriidae ,Charadrius ruficapillus,red-capped plover,32.75
Australia,Pedestrian,Charadriiformes,Charadriidae ,Charadrius ruficapillus ,red-capped plover ,22.0
Australia,Pedestrian,Charadriiformes,Charadriidae ,Elseyornis melanops,black-fronted dotterel,23.88
Australia,Pedestrian,Charadriiformes,Charadriidae ,Erythrogonys cinctus,red-kneed dotterel,21.20
Australia,Pedestrian,Charadriiformes,Charadriidae ,Pluvialis dominica,Pacific golden plover,49.33
Australia,Pedestrian,Charadriiformes,Charadriidae ,Pluvialis fulva ,Pacific golden plover ,21.9
Australia,Pedestrian,Charadriiformes,Charadriidae ,Pluvialis squatarola,black-bellied plover,44.00
Australia,Pedestrian,Charadriiformes,Charadriidae ,Vanellus miles,masked lapwing ,62.62
Australia,Pedestrian,Charadriiformes,Charadriidae ,Vanellus miles ,masked lapwing ,46.8
Australia,Pedestrian,Charadriiformes,Charadriidae ,Vanellus tricolor,banded lapwing,74.00
Australia,Pedestrian,Charadriiformes,Haematopodidae,Haematopus fuliginosus,sooty oystercatcher,64.28
Australia,Pedestrian,Charadriiformes,Haematopodidae,Haematopus longirostris,pied oystercatcher ,41.52
Australia,Pedestrian,Charadriiformes,Haematopodidae ,Haematopus longirostris,pied oystercatcher,82.5
Australia,Non-motorized watercraft,Charadriiformes,Laridae,Chlidonias hybrida,whiskered tern,11.0
