ID,Pretest,Posttest
1,65,114
2,106,120
3,45,74
4,116,129
5,75,105
6,46,97
7,54,95
8,79,103
9,55,109
10,99,101
11,52,94
12,73,76
13,51,77
14,88,98
15,76,86
16,68,88
